file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern","Munich 1856: Four Maps That Will Change Your View of the City 

Let me know if you'd like me to translate any other German text!",Munich 1856: Four maps that will change your view of the city,0.7531458139419556
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","A mental asylum, where today young people are supposed to meet. 

Let me know if you'd like me to elaborate on any part of the translation!","A mental asylum, where today young people are said to meet.",0.6063634157180786
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","A crypt chapel, where now the S-Bahn tunnel is being dug. 

Let me know if you have any other German text you'd like me to translate!","A crypt chapel, where they are now digging tunnels for the S-Bahn.",0.5958669781684875
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,"Gardeners cultivate the former land of farmers. 

Let me know if you have any other text you'd like me to translate!",Allotment holders cultivate the soil of former farmers.,0.5365679264068604
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,"The oldest official map of Munich brings fascinating stories to light. 

Let me know if you have any other German text you'd like me to translate!",The oldest official map of Munich brings captivating stories to light.,0.7319096326828003
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,"Es nervt, wenn Landkarten nicht aktuell sind.",It's annoying when maps are not up to date.,It is annoying when geographical maps are not up-to-date.,0.9130467176437378
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","That's something everyone knows who has ever had to get upset because the car navigation system showed a green field instead of a bypass. 

Let me know if you have any other German text you'd like me to translate!",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,0.6860207319259644
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","The historical maps in the digital Bayern-Atlas, an offering of the Bavarian State Government's Geoportal, are anything but up-to-date - but precisely for that reason, they are very insightful. 

Let me know if you have any other text you'd like me to translate!","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.",0.797673761844635
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,"Especially when you compare them with current online maps. 

Let me know if you have any other text you'd like me to translate!",Especially when one compares them with current online maps.,0.6706253886222839
translations_gemma2-9b-it_de-en.csv,gemma2-9b-it,de-en,de,en,unspecified,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.","Then it becomes clear how cities and municipalities in the distribution area of the Münchner Merkur have changed since the 19th century. 

Let me know if you have any other text you'd like me to translate!",Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,0.7170546054840088
